node   1  (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
          ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255) ( 144,  144) ( 255,  255)
         
node   1 sent_total  86798  recv_total  85790

node   2  (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (  27,    0) (   5,    5) (   0,   27) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (  16,    6) (  15,   13)
          (   5,    7) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15)
          (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15)
          (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15)
          (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15)
          (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (   5,    5) (  15,   15) (  18,    8) (  38,   26)
          (  44,   44) (  92,   94) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89)
          ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89)
          ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  92,   89) ( 109,  109) (  89,   92) ( 109,  109) (  89,   89)
          ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) ( 109,  109) (  89,   89) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
